"Timestamp","Curso","Opinión General Sobre el Curso","¿Aprobó la Cursada?","¿Cómo te Resultaron los Temas de la Materia?","¿Los Temas de la Materia Están Actualizados?","Nivel de las Clases Teóricas del Curso","Nivel de las Clases Prácticas del Curso","Dificultad del Curso","Dificultad del TP","Comentarios Sobre el Curso"
"2018/07/05 1:50:55 PM GMT-3","Sistemas Operativos - Clua","Regular","Sí","Poco Interesantes","No","Regulares","Malas","Normal","Normal",""
"2018/07/05 1:52:51 PM GMT-3","Algoritmos y Programación 1 - Mendez","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Normal","Fácil",""
"2018/07/05 2:02:22 PM GMT-3","Algoritmos y Programación 1 - Essaya","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Buenas","Normal","Normal",""
"2018/07/05 2:02:50 PM GMT-3","Base de Datos - Servetto","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Normal","Dificil",""
"2018/07/05 2:03:21 PM GMT-3","Organización de Datos - Argerich","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Muy Buenas","Dificil","Dificil","Excelente, probablemente el mejor curso al que asistí en la facu, junto con el de AM3 de Acero. Algunas clases (pocas) donde no se hacía mucho más que comentar diapositivas y presentar algún ejemplo, quizás no me gustaron tanto y me parecía que se entendía mejor directamente leyendo tranquilo el apunte en mi casa. Otra cosa que por momentos me generó problemas fue que quizás algunos algoritmos que se veían en clase, en el apunte estaban explicados de otra forma, o tenía pequeñas diferencias en algunas formulas o selección de parámetros (ej: tf-idf normalizado) y eso a veces me llevaba a generar resultados erróneos en las guías. A veces los notebooks que se veían en clase tardaban unos cuantos días en estar subidos."
"2018/07/05 2:05:22 PM GMT-3","Organización del Computador - Benitez","Malo","No","Interesantes","Sí","Buenas","Malas","Dificil","Normal","Muy estrictos al corregir los parciales, no me parecio que valoren que entiendas los conceptos de ibm mainframe sino que apliques especificamente lo que ellos pensaban que debias hacer en los ejercicios, y siendo que en el examen se programa en papel no me parece que deban ser tan estrictos y hacer tan complicados ese tipo de ejercicios.
El horario de las clases me parece pésimo.
Sobre el resto no me quejo, los tps me parecieron accesibles, pero en los parciales a mi parecer le ponen demasiado enfasis a ibm mainframe y lo complican mas de lo que deberian"
"2018/07/05 2:05:27 PM GMT-3","Taller de Programación 1 - Veiga","Muy Bueno","No","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Muy Dificil","Muy dificil","Me parece una materia muy buena y que te cambia muchísimo la forma de programar. La única critica es que con los trabajos da la sensacion de que podrían exigir mucho como lo vienen haciendo sin necesidad de tirar a matar, ya que a veces se siente que más que exigencia es limpieza."
"2018/07/05 2:06:08 PM GMT-3","Algoritmos y Programación 2 - Buchwald","Bueno","Sí","Interesantes","Sí","Regulares","Regulares","Dificil","Muy dificil",""
"2018/07/05 2:06:34 PM GMT-3","Algoritmos y Programación 1 - Essaya","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Muy Buenas","Normal","Normal",""
"2018/07/05 2:07:38 PM GMT-3","Base de Datos - Servetto","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Normal","Dificil",""
