"Timestamp","Curso","Opinión General Sobre el Curso","¿Aprobó la Cursada?","¿Cómo te Resultaron los Temas de la Materia?","¿Los Temas de la Materia Están Actualizados?","Nivel de las Clases Teóricas del Curso","Nivel de las Clases Prácticas del Curso","Dificultad del Curso","Dificultad del TP","Comentarios Sobre el Curso"
"2016/12/16 12:35:15 PM GMT-3","Algoritmos y Programación1 - Azcurra","Muy Bueno","Sí","Muy Interesantes","Sí","Muy Buenas","Buenas","Normal","Normal",""
"2016/12/16 12:36:15 PM GMT-3","Base de Datos - Ale","Bueno","Sí","Interesantes","No","Regulares","Buenas","Normal","Normal",""
"2016/12/16 12:36:34 PM GMT-3","Taller de Programación 1 - Veiga","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Dificil","Muy dificil",""
"2016/12/16 12:38:18 PM GMT-3","Algoritmos y Programación 1 - Wachenchauzer","Muy Bueno","Sí","Muy Interesantes","Sí","Buenas","Excelentes","Dificil","Dificil",""
"2016/12/16 12:38:51 PM GMT-3","Algoritmos y Programación 2 - Wachenchauzer","Muy Bueno","No","Muy Interesantes","Sí","Regulares","Excelentes","Dificil","Dificil",""
"2016/12/16 12:40:53 PM GMT-3","Organización de Datos - Argerich","Muy Bueno","Sí","Muy Interesantes","Sí","Excelentes","Muy Buenas","Dificil","Dificil",""
"2016/12/16 12:41:04 PM GMT-3","Base de Datos - Ale","Regular","Sí","Poco Interesantes","Sí","Regulares","Buenas","Normal","Fácil","No resultan muy útiles las clases."
"2016/12/16 12:41:47 PM GMT-3","Teoría de Algoritmos 1 - Wachenchauzer","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Excelentes","Facil","Normal",""
"2016/12/16 12:42:38 PM GMT-3","Organización de Datos - Argerich","Bueno","No","Muy Interesantes","Sí","Muy Buenas","Buenas","Muy Dificil","Dificil",""
"2016/12/16 12:43:08 PM GMT-3","Teoría de Algoritmos 1 - Wachenchauzer","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Dificil","Dificil",""
"2016/12/16 12:43:30 PM GMT-3","Taller de Programación 1 - Veiga","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Dificil","Muy dificil","Excelente cátedra. Sufrí mucho pero aprendí un montón."
"2016/12/16 12:44:44 PM GMT-3","Técnicas de Programación Concurrente - Echeverría","Muy Bueno","Sí","Interesantes","Sí","Regulares","Muy Buenas","Dificil","Dificil",""
"2016/12/16 12:45:31 PM GMT-3","Algoritmos y Programación 2 - Wachenchauzer","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Dificil","Dificil","Excelente.  Toman bastantes TPS, se dedican a corregir cada detalle y hacerte reentregar muchas veces si es necesario (por mas que eso sea mas trabajo para ellos) y eso esta muy bueno, porque hacerlos es una buena forma de aprender"
"2016/12/16 12:45:47 PM GMT-3","Computación-Arriazu","Excelente","Sí","Interesantes","Sí","Excelentes","Buenas","Normal","No hay TP",""
"2016/12/16 12:46:01 PM GMT-3","Sistemas Automáticos de Diagnóstico y Detección de Fallas 2 - Merlino","Bueno","Sí","Interesantes","Sí","Regulares","Regulares","Facil","Fácil",""
"2016/12/16 12:46:33 PM GMT-3","Análisis de la Información - Gonzalez","Muy Bueno","Sí","Interesantes","No","Buenas","Buenas","Normal","Normal","Me quede con una idea general de la materia sin tener que ponerme a estudiar de memoria un resumen como en estrorga o sisop para poder aprobar"
"2016/12/16 12:47:44 PM GMT-3","Taller de Programación 2 - Veiga","Muy Bueno","Sí","Muy Interesantes","Sí","No hay clases teóricas","Muy Buenas","Normal","Dificil","Muy buena onda los ayudantes, saben mucho y explican muy bien"
"2016/12/16 12:49:13 PM GMT-3","Taller de Programación 1 - Azcurra","Regular","Sí","Interesantes","Sí","No hay clases teóricas","No Hay Clases Prácticas","Dificil","Dificil","La materia consta de un TP grupal (particularmente hacer un juego, en este cuatrimestre fue el Metal Slug). La idea del tp está buena, porque motiva a hacer un juego que quede bueno. Sin embargo, el curso, a mi parecer, tiene muchos problemas. 
En primer lugar, los docentes llegan tarde a la mayoría de las clases. En segundo lugar, no hay clases teóricas, por lo que los temas necesarios para la realización del TP se deben aprender por nuestra cuenta. Esto dificulta mucho la realización del TP, cuya mayor dificultad se encuentra en aprender los temas individualmente. Además, si bien las clases están mas cerca de ser ""prácticas"", tampoco lo son, ya que básicamente constan de consultas del TP.
Me hubiera gustado que se expliquen los temas antes de la realización del TP, creo que esto mejoraría mucho a esta cátedra."
"2016/12/16 12:51:25 PM GMT-3","Calidad en el Desarrollo del Software - Pantaleo","Regular","Sí","Poco Interesantes","No","Malas","Malas","Normal","Normal",""
"2016/12/16 12:52:35 PM GMT-3","Arquitectura de Software - Diez","Bueno","Sí","Muy Interesantes","Sí","Regulares","Excelentes","Normal","Normal","Hubo pocas clases teóricas y fueron de poca duración"
