"Timestamp","Curso","Opinión General Sobre el Curso","¿Aprobó la Cursada?","¿Cómo te Resultaron los Temas de la Materia?","¿Los Temas de la Materia Están Actualizados?","Nivel de las Clases Teóricas del Curso","Nivel de las Clases Prácticas del Curso","Dificultad del Curso","Dificultad del TP","Comentarios Sobre el Curso"
"2017/12/08 3:48:19 PM GMT-3","Organización de Datos - Argerich","Muy Bueno","Sí","Muy Interesantes","Sí","Excelentes","Buenas","Normal","Normal",""
"2017/12/08 3:50:56 PM GMT-3","Sistemas Operativos - Mendez","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Dificil","Dificil","Me resultó un excelente curso, muy actualizado y utilizando como referencia al MIT lo cual realmente entusiasma. Realmente aprendes sobre el funcionamiento interno de un sistema operativo lo cual aporta mucho a la formación de un ingeniero en informática. Los profesores (Mariano y Dato) tienen mucha dedicación y son apasionados por transmitir el conocimiento. La única contra (no depende de los profesores) es que se dicta 6 horas consecutivas un viernes lo cual, sumado a la dificultad de los temas, hace que uno termine con la cabeza quemada la semana. Estaria bueno que se pudiera cambiar esto para las proximas cursadas."
"2017/12/08 3:51:53 PM GMT-3","Algoritmos y Programación 2 - Wachenchauzer","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Excelentes","Normal","Dificil","Muy buen curso"
"2017/12/08 3:52:05 PM GMT-3","Simulación - Cadoche","Regular","Sí","Poco Interesantes","No","Buenas","Buenas","Normal","Muy Fácil","La materia utiliza un lenguaje de programación demasiado arcaico"
"2017/12/08 3:53:15 PM GMT-3","Administración y Control de Proyectos Informáticos 2 - Alvaro","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Regulares","Normal","Normal","Excelente para ser el primer cuatrimestre"
"2017/12/08 3:54:59 PM GMT-3","Organización del Computador - Benitez","Malo","No","Nada Interesantes","No","Malas","Buenas","Dificil","Dificil","El tiempo para hacer el TP empieza a correr en un momento del cuatrimestre que todavia faltan muchas clases para entender como empezar a hacerlo.
Las clases teoricas son simples lecturas desde un PDF con el proyector, y ademas arrancan muy tarde (generalmente 19:30) lo cual causa que termine también muy tarde."
"2017/12/08 3:55:21 PM GMT-3","Algoritmos y Programación 2 - Wachenchauzer","Excelente","Sí","Interesantes","Sí","Buenas","Excelentes","Normal","Normal","Un excelente curso, con los contenidos bien dados. No es para tomárselo a la ligera, muchos tps, muchas entregas, y muchos parcialitos (así como muchas oportunidades) para aprender en serio :)"
"2017/12/08 3:56:58 PM GMT-3","Análisis Numérico - Schwarz","Muy Bueno","Sí","Interesantes","Sí","Buenas","Buenas","Normal","Normal",""
"2017/12/08 3:58:36 PM GMT-3","Análisis Numérico - Tarela","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal",""
"2017/12/08 4:00:09 PM GMT-3","Análisis Numérico - Schwarz","Bueno","Sí","Interesantes","Sí","Buenas","Muy Buenas","Normal","Normal",""
"2017/12/08 4:00:58 PM GMT-3","Algoritmos y Programación 1 - Guarna","Regular","Sí","Interesantes","No","Regulares","Regulares","Normal","Normal",""
